EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
High Silica Rhyolite	Biotite	70	Yb			0.32	0.69	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	71	Lu			0.39	0.8	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	72	Hf			0.47	0.68	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	73	Ta			1.31	1.36	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	90	Th			0.511	1.74	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
High Silica Rhyolite	Biotite	92	U			0.131	0.19	Phenocryst-Matrix	Mahood & Hildreth 1983	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	3	Li	0.39				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	21	Sc	11.3				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	24	Cr	19				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	25	Mn	5.95				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	27	Co	28.5				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	30	Zn	20				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	37	Rb	3.53				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	38	Sr	0.363				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	49	In	3.9				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	55	Cs	2.35				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	56	Ba	8.67				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	57	La	0.318				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	58	Ce	0.377				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	62	Sm	0.39				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	63	Eu	0.328				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	64	Gd	0.442				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	65	Tb	0.393				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	70	Yb	0.67				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	71	Lu	0.743				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	72	Hf	2.1				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Dacite	Biotite	90	Th	0.31				Phenocryst-Matrix	Matsui et al. 1977	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	21	Sc			4.9	20	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	24	Cr			8.3	31	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	25	Mn			13.6	205	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	30	Zn			42	230	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	37	Rb			2.3	4.1	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Biotite	38	Sr			0.29	0.53	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
