EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
Rhyolite	K-Feldspar	62	Sm			0.02	0.04	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	63	Eu			3.3	6.5	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	65	Tb			0.01	0.06	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	66	Dy			0.04	0.09	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	70	Yb			0.03	0.04	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	71	Lu			0.02	0.04	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	72	Hf			0.02	0.05	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	73	Ta			0.001	0.02	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	82	Pb			0.99	4.1	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	90	Th			0.02	0.03	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	K-Feldspar	92	U			0.04	0.07	Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	K-Feldspar	37	Rb	0.38		0.38		Phenocryst-Matrix	Noble & Hedge 1970	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Alkaline Rhyolite	Sanidine, K-Feldspar	37	Rb			0.25	0.45	Phenocryst-Matrix	Noble & Hedge 1970	Solid-Melt		12-DEC-2000	NaN	NaN
Per-Aluminous Rhyolite	K-Feldspar	37	Rb			0.27	0.32	Phenocryst-Matrix	Noble & Hedge 1970	Solid-Melt		12-DEC-2000	NaN	NaN
