Johnson 1994	http://earthref.org/cgi-bin/err.cgi?n=132
Johnson 1998	http://earthref.org/cgi-bin/err.cgi?n=133
Jones & Burnett 1987	http://earthref.org/cgi-bin/err.cgi?n=135
Jones & Layne 1997	http://earthref.org/cgi-bin/err.cgi?n=139
Keleman & Dunn 1992	http://earthref.org/cgi-bin/err.cgi?n=143
Klemme et al. 1995	http://earthref.org/cgi-bin/err.cgi?n=148
Klemme et al. 2002	http://earthref.org/cgi-bin/err.cgi?n=98602
Larsen 1979	http://earthref.org/cgi-bin/err.cgi?n=154
Latourrette & Burnett 1992	http://earthref.org/cgi-bin/err.cgi?n=156
Lemarchand et al. 1987	http://earthref.org/cgi-bin/err.cgi?n=166
Lindstrom & Weill 1978	http://earthref.org/cgi-bin/err.cgi?n=173
Lofgren et al. 2006	http://earthref.org/cgi-bin/err.cgi?n=99699
Luhr & Carmichael 1980	http://earthref.org/cgi-bin/err.cgi?n=181
Lundstrom et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=183
Lundstrom et al. 1998	http://earthref.org/cgi-bin/err.cgi?n=300
Mahood & Hildreth 1983	http://earthref.org/cgi-bin/err.cgi?n=186
Mahood & Stimac 1990	http://earthref.org/cgi-bin/err.cgi?n=187
Marks et al. 2004	http://earthref.org/cgi-bin/err.cgi?n=99700
Matsui et al. 1977	http://earthref.org/cgi-bin/err.cgi?n=190
McCallum & Charette 1978	http://earthref.org/cgi-bin/err.cgi?n=191
McKay et al. 1994	http://earthref.org/cgi-bin/err.cgi?n=193
McKenzie & O'Nions 1991	http://earthref.org/cgi-bin/err.cgi?n=200
Michael 1988	http://earthref.org/cgi-bin/err.cgi?n=202
Mysen & Virgo 1980	http://earthref.org/cgi-bin/err.cgi?n=207
Mysen 1978	http://earthref.org/cgi-bin/err.cgi?n=205
Nagasawa 1973	http://earthref.org/cgi-bin/err.cgi?n=211
Nagasawa et al. 1969	http://earthref.org/cgi-bin/err.cgi?n=215
Nash & Crecraft 1985	http://earthref.org/cgi-bin/err.cgi?n=217
Nicholls & Harris 1980	http://earthref.org/cgi-bin/err.cgi?n=219
Nielsen 1988	http://earthref.org/cgi-bin/err.cgi?n=222
