EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
KREEP, Lunar Basalt	Ilmenite	62	Sm	0.01				Experimental	McKay & Weill 1976	Solid-Melt		12-DEC-2000	NaN	NaN
KREEP, Lunar Basalt	Ilmenite	63	Eu	0.007				Experimental	McKay & Weill 1976	Solid-Melt		12-DEC-2000	NaN	NaN
KREEP, Lunar Basalt	Ilmenite	70	Yb	0.075				Experimental	McKay & Weill 1976	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	40	Zr			0.316	0.347	Experimental	McKay et al. 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	64	Gd	0.0061				Experimental	McKay et al. 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	71	Lu	0.088				Experimental	McKay et al. 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	72	Hf			0.385	0.442	Experimental	McKay et al. 1986	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	21	Sc	5.9				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	24	Cr	3				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	25	Mn	115				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	30	Zn	125				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	42	Mo	3				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	57	La	7.1				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	58	Ce	7.8				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	60	Nd	7.6				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	62	Sm	6.9				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	63	Eu	2.5				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	65	Tb	6.5				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	66	Dy	4.9				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	70	Yb	4.1				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	71	Lu	3.6				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	72	Hf	3.1				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	73	Ta	106				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	90	Th	7.5				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	92	U	3.2				Phenocryst-Matrix	Nash & Crecraft 1985	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	39	Y	0.0045				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	57	La	0.0072				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	62	Sm	0.0091				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	64	Gd	0.0077				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	67	Ho	0.012				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt-Andesite	Ilmenite	71	Lu	0.029				Experimental	Nielsen et al. 1992	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	21	Sc	1.8				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	25	Mn	1.9				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	27	Co	2.2				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	29	Cu	1.46				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	30	Zn	0.38				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	31	Ga	0.14				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	57	La	0.098				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	58	Ce	0.11				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	60	Nd	0.14				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	62	Sm	0.15				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	63	Eu	0.1				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	64	Gd	0.14				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	65	Tb	0.14				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	67	Ho	0.13				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Basalt	Ilmenite	70	Yb	0.17				Phenocryst-Matrix	Paster et al. 1974	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	23	V	12				Phenocryst-Matrix	Ringwood 1970	Solid-Melt		12-DEC-2000	NaN	NaN
Lunar Mare Basalt	Ilmenite	24	Cr	6				Phenocryst-Matrix	Ringwood 1970	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	22	Ti			150	235	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	25	Mn			15	35	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	26	Fe			34	38	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	30	Zn			10	11	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	39	Y			0.2	1.6	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	41	Nb			50.9	64.2	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	42	Mo			3		Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Rhyolite	Ilmenite	73	Ta			64	85	Phenocryst-Matrix, PIXE	Stimac & Hickmott 1994	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	21	Sc	0.58				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	23	V	11				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	27	Co	1.9				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	29	Cu	0.79				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	30	Zn	3				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	31	Ga	0.4				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	40	Zr	0.29				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	41	Nb	2				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	56	Ba	0.00034				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	57	La	0.000029				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	58	Ce	0.000054				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	59	Pr	0.00019				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	60	Nd	0.00048				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	62	Sm	0.00059				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	63	Eu	0.0011				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	64	Gd	0.0034				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	65	Tb	0.0067				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	66	Dy	0.01				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	67	Ho	0.011				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	69	Tm	0.1				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	70	Yb	0.17				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	71	Lu	0.084				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	72	Hf	0.38				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	73	Ta	1.7				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	90	Th	0.00055				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
Alkali Basalt	Ilmenite	92	U	0.0082				Phenocryst-Matrix	Zack & Brumm 1998	Solid-Melt		12-DEC-2000	NaN	NaN
														
LINKS TO REFERENCES:														
