EarthRef.org -- GERM Partition Coefficient (Kd) Database														
Database development and maintenance by the PACER Team -- Data contribution by Roger Nielsen														
														
DATA:														
Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted	SiO2	SiO2_sigma
BMG A-type granite	Zircon		U	200	200			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
BMG A-type granite	Zircon		Y	159	159			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Dy	105	105			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Ho	175	175			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Er	270	270			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Yb	508	508			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Lu	603	603			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Nb	2.62	2.62			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
PERT LV A-type granite	Zircon		Y	177	177			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
SPL granite	Zircon		Tb	17	17			Phenocryst-Matrix	Nardi 2013 10.1016/j.chemgeo.2012.10.043	Solid-Melt	CBK addition	30-DEC-2019	NaN	NaN
